DT_POSICAO;IPCA;PIB;SELIC;CAMBIO
201101;0,83;3332556;0,86;1,67
201102;0,08;334982;0,84;1,66
201103;0,79;3478796;0,92;1,65
201104;0,77;3490493;0,84;1,58
201105;0,47;3662562;0,99;1,61
201106;0,15;3709512;0,96;1,58
201107;0,16;3731433;0,97;1,56
201108;0,37;3767693;1,07;1,59
201109;0,53;3617246;0,94;1,74
201110;0,43;378491;0,88;1,77
201111;0,52;3895608;0,86;1,78
201112;0,05;3915951;0,91;1,83
201201;0,56;3672154;0,89;1,78
201202;0,45;3671773;0,75;1,71
201203;0,21;3929965;0,82;1,79
201204;0,64;3817953;0,71;1,85
201205;0,36;4002813;0,74;1,98
201206;0,08;3987145;0,64;2,04
201207;0,43;4146174;0,68;2,02
201208;0,41;4199063;0,69;2,02
201209;0,57;3935247;0,54;2,02
201210;0,59;4226721;0,61;2,02
201211;0,06;4238164;0,55;2,06
201212;0,79;4231959;0,55;2,07
201301;0,86;4141318;0,06;2,03
201302;0,06;3986454;0,49;1,97
201303;0,47;4274098;0,55;1,98
201304;0,55;4388568;0,61;2
201305;0,37;4390542;0,06;2,03
201306;0,26;442857;0,61;2,17
201307;0,03;4584589;0,72;2,25
201308;0,24;4528622;0,71;2,34
201309;0,35;4387667;0,71;2,26
201310;0,57;466166;0,81;2,18
201311;0,54;4656938;0,72;2,29
201312;0,92;4735525;0,79;2,34
201401;0,55;455935;0,85;2,38
201402;0,69;4503588;0,79;2,38
201403;0,92;4621598;0,77;2,32
201404;0,67;4687675;0,82;2,23
201405;0,46;4733471;0,87;2,22
201406;0,04;4585165;0,82;2,23
201407;0,01;481994;0,95;2,22
201408;0,25;4770529;0,87;2,26
201409;0,57;4765206;0,91;2,33
201410;0,42;4933047;0,95;2,44
201411;0,51;4894844;0,84;2,54
201412;0,78;4998677;0,96;2,63
201501;1,24;4729139;0,94;2,63
201502;1,22;4601567;0,82;2,81
201503;1,32;5017522;1,04;3,13
201504;0,71;4866146;0,95;3,04
201505;0,74;4832397;0,99;3,06
201506;0,79;4866475;1,07;3,11
201507;0,62;5022752;1,18;3,22
201508;0,22;4925057;1,11;3,51
201509;0,54;4960047;1,11;3,9
201510;0,82;5188289;1,11;3,87
201511;1,01;5138198;1,06;3,77
201512;0,96;5219187;1,16;3,87
201601;1,27;490284;1,06;4,05
201602;0,09;4910117;0,01;3,97
201603;0,43;5169859;1,16;3,7
201604;0,61;5080587;1,06;3,56
201605;0,78;5132675;1,11;3,53
201606;0,35;5364593;1,16;3,42
201607;0,52;5329478;1,11;3,27
201608;0,44;5347618;1,22;3,2
201609;0,08;509975;1,11;3,25
201610;0,26;5251627;1,05;3,18
201611;0,18;5415307;1,04;3,34
201612;0,03;5657805;1,12;3,35
201701;0,38;5265647;1,09;3,19
201702;0,33;5141205;0,87;3,1
201703;0,25;5443129;1,05;3,12
201704;0,14;5252381;0,79;3,13
201705;0,31;5488877;0,93;3,2
201706;-0,23;5567876;0,81;3,29
201707;0,24;5574582;0,08;3,2
201708;0,19;5555787;0,08;3,15
201709;0,16;5288712;0,64;3,13
201710;0,42;5493047;0,64;3,19
201711;0,28;5662093;0,57;3,25
201712;0,44;5888928;0,54;3,29
201801;0,29;5556446;0,58;3,2
201802;0,32;5289055;0,47;3,24
201803;0,09;5601207;0,53;3,27
201804;0,22;5593598;0,52;3,4
201805;0,04;5470165;0,52;3,63
201806;1,26;5806978;0,52;3,77
201807;0,33;5830548;0,54;3,82
201808;-0,09;5827567;0,57;3,92
201809;0,48;5567766;0,47;4,11
201810;0,45;5919839;0,54;3,75
201811;-0,21;5939269;0,49;3,78
201812;0,15;6031552;0,49;3,88
201901;0,32;5784526;0,54;3,74
201902;0,43;5679845;0,49;3,72
201903;0,75;5791726;0,47;3,84
201904;0,57;592916;0,52;3,89
201905;0,13;6046074;0,54;4
201906;0,01;598283;0,47;3,85
201907;0,19;6270497;0,57;3,77
201908;0,11;6161576;0,05;4,01
201909;-0,04;6141879;0,46;4,12
201910;0,01;6413401;0,48;4,08
201911;0,51;6348262;0,38;4,15
201912;1,15;6463431;0,37;4,1
202001;0,21;6177472;0,38;4,14
202002;0,25;6098108;0,29;4,34
202003;0,07;6163353;0,34;4,88
202004;-0,31;5553874;0,28;5,32
202005;-0,38;5616284;0,24;5,64
202006;0,26;5915373;0,21;5,19
202007;0,36;6297009;0,19;5,27
202008;0,24;6251363;0,16;5,46
202009;0,64;6352639;0,16;5,39
202010;0,86;661149;0,16;5,62
202011;0,89;6651828;0,15;5,41
202012;1,35;6850426;0,16;5,14
202101;0,25;6537904;0,15;5,35
202102;0,86;676255;0,13;5,41
202103;0,93;7359936;0,02;5,64
202104;0,31;7136521;0,21;5,56
202105;0,83;7121342;0,27;5,29
202106;0,53;7148933;0,31;5,03
202107;0,96;7430918;0,36;5,15
202108;0,87;7406151;0,43;5,25
202109;1,16;7457744;0,44;5,27
202110;1,25;755323;0,49;5,53
202111;0,95;7715589;0,59;5,55
202112;0,73;7828335;0,77;5,65
202201;0,54;7229099;0,73;5,53
202202;1,01;7541474;0,76;5,19
202203;1,62;838868;0,93;4,96
202204;1,06;8197276;0,83;4,75
202205;0,47;8260521;1,03;4,95
202206;0,67;8260257;1,02;5,04
202207;-0,68;8529099;1,03;5,36
202208;-0,36;8540041;1,17;5,14
202209;-0,29;8367858;1,07;5,23
202210;0,59;8779475;1,02;5,24
202211;0,41;8795149;1,02;5,27
202212;0,62;8838862;1,12;5,24
202301;0,53;8128346;1,12;5,2
202302;0,84;8312245;0,92;5,17
202303;0,71;9386798;1,17;5,21
202304;0,61;9046648;0,92;5,01
202305;0,23;9033086;1,12;4,98
202306;-0,08;8931315;1,07;4,85
202307;0,12;9116491;1,07;4,8
202308;0,23;9233811;1,14;4,9
202309;0,26;9059312;0,97;4,93
202310;0,24;9437777;0,01;5,06
202311;0,28;9504661;0,92;4,89
202312;0,56;9370965;0,89;4,89
202401;0,42;8754534;0,97;4,91
202402;0,83;885793;0,08;4,96
202403;0,16;9526703;0,83;4,97
202404;0,38;9765119;0,89;5,12
202405;0,46;953614;0,83;5,13
202406;0,21;9498317;0,79;5,38
